id,filename,img_score_malicious,img_score_unmatch,img_score_both,img_score_normal,text_score_unmatch,text_score_malicious,text_score_both,text_score_normal
925,CMIC/Ultrasound/Carotid/202201121819140033VAS_slice_758.png,14.024539947509766,11.022361755371094,12.293307304382324,22.885108947753906,0.4246661067008972,0.5719720721244812,0.3465001583099365,0.5139181613922119
926,CMIC/Ultrasound/Carotid/202201121823380035VAS_slice_712.png,17.48575210571289,24.49366569519043,13.011317253112793,34.03117370605469,0.5045056939125061,0.339200496673584,0.45753636956214905,0.5469814538955688
927,CMIC/Ultrasound/Carotid/202201121858500045VAS_slice_895.png,16.225589752197266,17.571102142333984,28.955425262451172,27.323684692382812,0.40289774537086487,0.5337251424789429,0.478929340839386,0.34224292635917664
928,CMIC/Ultrasound/Carotid/202201121834300037VAS_slice_755.png,18.413970947265625,12.857200622558594,9.377845764160156,8.759285926818848,0.4681147038936615,0.492956280708313,0.47558099031448364,0.5438061952590942
929,CMIC/Ultrasound/Carotid/202202071314560026VAS_slice_756.png,22.63066864013672,3.9692397117614746,10.08310604095459,13.179885864257812,0.5041267275810242,0.3551851212978363,0.645783543586731,0.3908694386482239
930,CMIC/Ultrasound/Carotid/202202071309230021EM_VASCULAR_slice_737.png,9.475289344787598,11.746763229370117,9.802458763122559,5.815092086791992,0.6530375480651855,0.2564520239830017,0.27334946393966675,0.5201479196548462
931,CMIC/Ultrasound/Carotid/202201121850550042VAS_slice_1051.png,10.733741760253906,9.342705726623535,6.195507049560547,15.60804271697998,0.5562604665756226,0.5877848863601685,0.600090742111206,0.3205353617668152
932,CMIC/Ultrasound/Carotid/202201121815070032VAS_slice_1820.png,6.465345859527588,17.645362854003906,0.8568294048309326,29.638721466064453,0.401044636964798,0.3860938847064972,0.5702484846115112,0.5824788808822632
933,CMIC/Ultrasound/Carotid/202201121858500045VAS_slice_1367.png,19.879152297973633,14.839615821838379,17.8347225189209,11.255352020263672,0.5305364727973938,0.338875949382782,0.41199982166290283,0.7351067066192627
934,CMIC/Ultrasound/Carotid/202201121858500045VAS_slice_1400.png,21.02280044555664,15.808368682861328,12.58768081665039,34.17847442626953,0.28380441665649414,0.41439512372016907,0.4234086275100708,0.48869478702545166
935,CMIC/Ultrasound/Carotid/202201121844200040VAS_slice_645.png,19.09640884399414,9.512890815734863,21.735652923583984,11.295341491699219,0.2999301552772522,0.5646367073059082,0.5401959419250488,0.32196682691574097
