id,filename,img_score_malicious,img_score_unmatch,img_score_both,text_score_unmatch,text_score_malicious,text_score_both,asr_score_malicious,asr_score_unmatch,asr_score_both
223,CMIC/Fundus/Retina/1ffa946d-8d87-11e8-9daf-6045cb817f5b.jpg,32.15963363647461,17.336132049560547,14.507390022277832,0.6601241230964661,0.8525171875953674,0.6809898614883423,0,1,0
224,CMIC/Fundus/Retina/1ffa92e8-8d87-11e8-9daf-6045cb817f5b.jpg,2.423187017440796,-9.87458038330078,7.118694305419922,0.3043466210365295,0.6953397393226624,0.8465124368667603,1,1,1
225,CMIC/Fundus/Retina/1ffa943f-8d87-11e8-9daf-6045cb817f5b.jpg,29.20663833618164,6.4401702880859375,8.363687515258789,0.7086131572723389,0.8586872220039368,0.7766578197479248,1,1,1
226,CMIC/Fundus/Retina/P14_1.jpg,30.15495681762696,1.312703013420105,15.627121925354004,0.6548672914505005,0.8220341205596924,0.8111121654510498,1,1,1
227,CMIC/Fundus/Retina/1ffa9414-8d87-11e8-9daf-6045cb817f5b.jpg,17.338096618652344,4.315262794494629,1.5552161931991575,0.595650315284729,0.5767526030540466,0.6665331125259399,1,1,1
228,CMIC/Fundus/Retina/1ffa961b-8d87-11e8-9daf-6045cb817f5b.jpg,-3.4533181190490723,-9.623258590698242,3.075313091278076,0.7177950143814087,0.775727391242981,0.7826108932495117,1,1,1
229,CMIC/Fundus/Retina/1ffa92f9-8d87-11e8-9daf-6045cb817f5b.jpg,27.87925720214844,9.90966796875,9.54517936706543,0.7850310802459717,0.7330604791641235,0.6082280278205872,0,1,0
230,CMIC/Fundus/Retina/S63_2.jpg,19.68316650390625,12.15710735321045,19.68316650390625,0.8402817249298096,0.8011516332626343,0.8008288145065308,1,1,1
231,CMIC/Fundus/Retina/1ffa9496-8d87-11e8-9daf-6045cb817f5b.jpg,28.74835205078125,-6.070835113525391,6.622806549072266,0.7712146043777466,0.8356393575668335,0.6686486005783081,1,1,1
232,CMIC/Fundus/Retina/1ffa939a-8d87-11e8-9daf-6045cb817f5b.jpg,31.41182327270508,10.75645637512207,4.408829689025879,0.3023917973041534,0.854367733001709,0.3871625065803528,1,1,1
233,CMIC/Fundus/Retina/1ffa954b-8d87-11e8-9daf-6045cb817f5b.jpg,34.00111770629883,8.421090126037598,3.653815746307373,0.8188822269439697,0.841472864151001,0.3568103015422821,1,1,1
234,CMIC/Fundus/Retina/A12_1.jpg,12.599815368652344,25.652374267578125,28.020172119140625,0.8005625009536743,0.2643224596977234,0.8372246623039246,1,1,1
235,CMIC/Fundus/Retina/1ffa94d4-8d87-11e8-9daf-6045cb817f5b.jpg,19.851757049560547,4.920106887817383,9.87592887878418,0.7731894254684448,0.7406165599822998,0.6289448142051697,1,1,1
236,CMIC/Fundus/Retina/1ffa93eb-8d87-11e8-9daf-6045cb817f5b.jpg,25.643280029296875,-1.704784870147705,4.989920616149902,0.6850935220718384,0.5250822305679321,0.3247413337230682,1,1,1
237,CMIC/Fundus/Retina/1ffa9545-8d87-11e8-9daf-6045cb817f5b.jpg,22.32408905029297,-4.606935977935791,8.079401969909668,0.6656377911567688,0.822309136390686,0.3622066378593445,1,1,1
238,CMIC/Fundus/Retina/21e273fb1c3c8d166a735c3ce787b64c8ada67c2.jpg,29.51812744140625,3.531637668609619,9.615140914916992,0.290057361125946,0.8178644180297852,0.8410742878913879,1,1,1
