id,filename,img_score_malicious,img_score_unmatch,img_score_both,img_score_normal,text_score_unmatch,text_score_malicious,text_score_both,text_score_normal,asr_score_malicious,asr_score_unmatch,asr_score_both,asr_score_normal
1,CMIC/Dermoscopy/Skin/ls0216.jpg,25.581275939941406,24.976037979125977,18.702272415161133,32.84444808959961,0.5683352947235107,0.5853320956230164,0.5866441130638123,0.5782333016395569,0,1,0,1
2,CMIC/Dermoscopy/Skin/nv1760.jpg,30.456905364990234,25.01097869873047,20.738428115844727,25.897705078125,0.5204987525939941,0.6072182655334473,0.5565749406814575,0.6438268423080444,0,1,0,1
3,CMIC/Dermoscopy/Skin/nv1137.jpg,34.963279724121094,17.886451721191406,11.958322525024414,32.000125885009766,0.629401683807373,0.5783231258392334,0.6328833699226379,0.5902494192123413,1,1,1,1
4,CMIC/Dermoscopy/Skin/nv0204.jpg,30.67840576171875,19.24502754211425,17.40097427368164,31.570045471191406,0.6939340829849243,0.5837680101394653,0.5716652870178223,0.6482840180397034,1,1,0,1
5,CMIC/Dermoscopy/Skin/nv2310.jpg,29.72422790527344,8.509210586547852,19.03381729125977,18.36982727050781,0.7104288339614868,0.5793135166168213,0.5098148584365845,0.7287282347679138,1,1,0,1
6,CMIC/Dermoscopy/Skin/ls10044.jpg,24.50857162475586,13.762163162231444,16.044281005859375,17.215906143188477,0.6483204960823059,0.6369401216506958,0.5892835855484009,0.6547197103500366,1,1,1,1
7,CMIC/Dermoscopy/Skin/ls1797.jpg,31.5530014038086,16.632272720336914,21.360694885253903,25.884885787963867,0.5934969186782837,0.6597319841384888,0.6217039227485657,0.6444145441055298,1,1,1,1
8,CMIC/Dermoscopy/Skin/nv2903.jpg,33.27285385131836,14.43500518798828,19.42799568176269,17.848485946655273,0.6263020634651184,0.5726004838943481,0.6482414603233337,0.6017695665359497,0,1,0,1
9,CMIC/Dermoscopy/Skin/nv1552.jpg,26.3547477722168,19.209861755371094,18.724443435668945,20.631181716918945,0.6317452192306519,0.623894214630127,0.5975687503814697,0.5485793352127075,1,1,1,1
10,CMIC/Dermoscopy/Skin/nv4999.jpg,35.5314826965332,18.354076385498047,22.075233459472656,19.570674896240234,0.7297441363334656,0.6207051277160645,0.60169517993927,0.7025547027587891,1,1,1,1
11,CMIC/Dermoscopy/Skin/ls1868.jpg,31.065570831298828,21.05753326416016,17.9349365234375,26.911928176879883,0.5901223421096802,0.5937870740890503,0.5615571141242981,0.5860289335250854,1,0,0,1
12,CMIC/Dermoscopy/Skin/nv1457.jpg,33.899864196777344,14.300079345703123,16.368091583251953,20.215473175048828,0.6266175508499146,0.5490459203720093,0.6208459138870239,0.6879359483718872,1,1,1,1
13,CMIC/Dermoscopy/Skin/ls1502.jpg,28.743061065673828,11.407723426818848,18.415599822998047,18.32649612426757,0.4894826710224151,0.5481988191604614,0.4649434089660644,0.6234351396560669,1,1,1,1
14,CMIC/Dermoscopy/Skin/ls0181.jpg,10.403919219970703,11.766302108764648,10.841156959533691,17.157594680786133,0.7017778158187866,0.7211645841598511,0.6259975433349609,0.6441800594329834,1,1,0,1
15,CMIC/Dermoscopy/Skin/nv5200.jpg,36.7509994506836,16.759811401367188,8.957895278930664,26.412765502929688,0.6741762161254883,0.547111988067627,0.540756106376648,0.6654955148696899,0,1,1,1
16,CMIC/Dermoscopy/Skin/ls10129.jpg,11.315311431884766,19.547889709472656,9.53311538696289,25.19137191772461,0.6019810438156128,0.7291666269302368,0.7250850200653076,0.6175661087036133,1,1,1,1
17,CMIC/Dermoscopy/Skin/ls2008.jpg,33.24037170410156,17.655803680419922,20.38042640686035,32.35601043701172,0.6649395227432251,0.5664999485015869,0.6734439134597778,0.596197247505188,0,1,1,0
18,CMIC/Dermoscopy/Skin/nv0516.jpg,24.81938743591309,11.792670249938965,12.113533020019531,23.419464111328125,0.616053581237793,0.5703370571136475,0.5589545965194702,0.5897890329360962,1,1,1,1
19,CMIC/Dermoscopy/Skin/ls0617.jpg,27.58612060546875,16.319091796875,20.230453491210938,26.163673400878903,0.6260651350021362,0.5912421941757202,0.6539877653121948,0.5835075974464417,1,1,0,1
20,CMIC/Dermoscopy/Skin/ls0808.jpg,22.89235115051269,7.862302303314209,16.040019989013672,16.853431701660156,0.7433679103851318,0.6495012640953064,0.6893280744552612,0.7292053699493408,1,1,1,1
21,CMIC/Dermoscopy/Skin/nv5384.jpg,30.562355041503903,20.73493385314941,19.996234893798828,28.677305221557617,0.6098097562789917,0.677602231502533,0.588516891002655,0.6644487380981445,1,1,1,1
22,CMIC/Dermoscopy/Skin/ls0469.jpg,23.41343879699707,18.001197814941406,15.024322509765623,22.486696243286133,0.6157505512237549,0.5835385322570801,0.5584088563919067,0.6724390983581543,1,1,1,1
23,CMIC/Dermoscopy/Skin/ls0797.jpg,33.043514251708984,17.960590362548828,19.912227630615234,17.534883499145508,0.6245545148849487,0.6158764958381653,0.6641886234283447,0.718583345413208,1,1,0,1
24,CMIC/Dermoscopy/Skin/ls1980.jpg,24.49355125427246,11.737634658813477,10.25828456878662,24.491851806640625,0.6395977735519409,0.5837205648422241,0.5842610597610474,0.6276161074638367,1,1,1,1
25,CMIC/Dermoscopy/Skin/nv3055.jpg,28.309329986572266,24.86334609985352,18.11260986328125,35.32780075073242,0.6758865118026733,0.6940634250640869,0.6197313070297241,0.6198722124099731,1,1,1,1
26,CMIC/Dermoscopy/Skin/nv6168.jpg,36.81168746948242,19.44283676147461,20.56112289428711,33.661834716796875,0.5694910287857056,0.6024735569953918,0.6205365657806396,0.596197247505188,0,1,0,0
